t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_pkt_rate,sigma_rolling_pkt_rate,z_score_pkt_rate,fire_pkt_rate
1980.0,35121008.31912366,2345664927.2073793,2.49578748713059,1,52527595.77795943,14623478.26799746,-1.1903178669146697,0
2040.0,24599544.6601289,2960920219.4525256,2.807496537582677,1,49654757.09024305,16258522.062182559,-1.5410510459860776,0
2100.0,29300520.736993566,1839043156.209638,2.94842640178031,1,42579188.93353995,17847052.352292415,-0.7440258444045393,0
2160.0,7296717.436880074,354641954.830752,3.647475480215351,1,33100072.257300735,5579914.889600782,-4.624327670034906,0
2220.0,41946077.715350926,1815828819.1837578,3.460556606309817,1,27402753.02850659,11419223.746736242,1.2735826015320002,0
2280.0,57747854.61618238,2200838191.105039,3.3778916249306894,1,27652773.77369543,11717332.22586662,2.5684243019115303,0
2340.0,27979059.168769475,1279055275.620322,3.183448100090015,1,32178143.03310718,16935311.6385664,-0.24794842598439268,0
2400.0,24993299.580638237,2207688416.780168,3.659177497579503,1,32854045.934835296,16684944.290076746,-0.4711281151158642,0
2460.0,38084111.203630626,2367323540.7720056,3.5217208469355685,1,31992601.703564227,16955177.326764822,0.3592713530899241,0
2520.0,41365814.8885238,1908047240.266989,3.2963193828438655,1,38150080.456914335,11619270.684482321,0.27675871566570176,0
2580.0,150522299.03117773,3567408863.0134144,3.6743386437559367,1,38034027.89154891,11583620.05553784,9.71097727655967,1
2640.0,45964844.47733202,2617482323.2412534,3.457822170859209,1,56588916.77454797,47359176.38748982,-0.2243297520693869,0
2700.0,56905478.8677036,1581822959.6007102,3.5605602979950195,1,60186073.836260475,45703626.127096914,-0.07177975243001262,0
2760.0,41715381.12399864,1118746237.9349911,3.203359235367545,1,66568509.69367355,42456237.968048565,-0.5853822608677366,0
2820.0,19705814.63232994,302522469.0060178,3.794462617036296,0,67294763.67774716,41991286.072498806,-1.1333053472869095,0
2880.0,21812582.285282515,1354479179.7205908,3.0927054731645662,0,62962763.62650838,45420055.24837162,-0.9059914418025979,0
2940.0,29742439.163155586,2697369901.572275,3.4802231952813134,0,37220820.27732933,14341088.11072691,-0.5214653906616776,0
3000.0,36865507.005770974,1885111803.2233691,2.8158933477549932,0,33976339.21449404,13821497.59643491,0.2090343518217706,0
3060.0,19734074.31139843,1329191563.6103709,3.1958601644236047,0,29968344.842107523,8455184.561978903,-1.2104136173124294,0
3120.0,45029585.14668314,733966176.2430519,3.4150108453803423,0,25572083.479587484,6746296.642386436,2.884175229539381,0
3180.0,59508117.171981886,1364645469.188537,2.289052865164166,0,30636837.582458127,9417910.407934155,3.0655716967960362,1
3240.0,17615367.663219154,808889801.9578569,5.716614967160039,0,38175944.559797995,13527585.266907182,-1.5199000036522865,0
