t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_byte_rate,sigma_rolling_byte_rate,z_score_byte_rate,fire_byte_rate
0.0,80704364.11521181,2076351610.7851806,2.7265368444483036,0,,,,0
60.0,66059230.83530517,1799716690.3752763,3.267110235657519,0,,,,0
120.0,35134150.375594094,1804826571.8160148,4.276630622982457,0,1938034150.5802283,138317460.2049541,,0
180.0,60996915.162276804,1935700633.9487805,2.8528144706289487,0,1893631624.3254902,129219381.44349016,,0
240.0,42118530.96640718,1178013298.6118903,3.405443660298415,0,1904148876.7313128,113380219.615163,,0
300.0,41196209.544146374,1745886520.6473742,3.285098326512269,0,1758921761.1074283,307648695.44615054,,0
360.0,42097760.10336778,2138048413.9220676,2.930693398435135,0,1692828743.0798671,264879358.16746545,,0
420.0,39424571.308005944,1030815872.0321999,2.8628422052224494,0,1760495087.7892253,320844891.7817534,,0
480.0,39851825.2288459,2762641268.9241405,3.015551980227412,0,1605692947.8324623,430198834.8817392,,0
540.0,31612593.57311312,1121127070.2874517,3.4891091490378177,0,1771081074.8275344,635328791.9958203,,0
600.0,60617840.47090405,1495410122.937565,2.6630937526577494,0,1759703829.1626468,646262637.312736,-0.408957118926227,0
660.0,70062477.98768705,1769317055.03409,2.809458333317445,0,1709608549.620685,655040386.832096,0.09115240313985372,0
720.0,61521046.94553505,2426766361.2853837,3.513051180790478,0,1635862277.8430896,622607640.0424824,1.2703089916923094,0
780.0,26340978.949716154,2278951418.154342,3.6703443214803273,0,1915052375.6937263,601317541.6580038,0.605169510700191,0
840.0,5142344.200755912,279924996.8349384,4.024433998326795,0,1818314405.5397668,484796521.5132591,-3.173268248507335,0
900.0,19993766.998557333,471736905.43452287,2.784991042145274,0,1650073990.849264,763437743.7695348,-1.5434619194966803,0
960.0,21892703.06052336,1219838161.086346,2.063008548797771,0,1445339347.3486557,902126592.7395421,-0.2499662332062696,0
1020.0,20860828.156086065,1259233129.3881238,3.7301582494141927,0,1335443568.5591068,889344226.4487998,-0.08569284749876381,0
1080.0,21692332.117407225,3431634872.8828135,2.804350730126344,0,1101936922.1796546,706662803.4907365,3.2967604056631212,1
1140.0,9807971.343193633,149832569.39085105,3.104511843890691,0,1332473613.1253486,1120112063.8223605,-1.055823860782963,0
1200.0,12978038.433930881,3342295144.686281,3.0878055196872864,0,1306455127.6365314,1145482572.3979254,1.7772771634473423,0
1260.0,38018662.37899054,1422437945.480567,2.6577713509783956,0,1880566775.4868832,1293098663.04893,-0.35428760627291817,0
1320.0,9164274.179401876,990931411.7881955,3.75402671722908,0,1921086732.3657272,1274804388.944644,-0.7296455273013043,0
1380.0,52700560.80056365,2757278832.4215164,2.610419640104067,0,1867426388.8457413,1306780219.979893,0.6809503464855529,0
1440.0,22910365.136764556,236034408.49265593,4.314755412750218,0,1732555180.753482,1165547999.234384,-1.2839632286648417,0
1500.0,13231999.41773281,1635283896.7244103,1.794395244967121,0,1749795548.573843,1142417445.4614272,-0.10023625978784048,0
1560.0,48640481.87875111,2192397915.5580826,2.197484783723706,1,1408393298.981469,827027033.7939866,0.9479794305876466,0
1620.0,28641781.44178391,2113234607.790035,2.537520182386747,1,1562385292.996972,884959534.5262067,0.6224570653255675,0
1680.0,49485201.75770561,1495930133.760948,3.1164343707921645,1,1786845932.19734,853314645.9838163,-0.3409244172775039,0
1740.0,59977385.443644404,2981028698.2903233,2.91914829249648,1,1534576192.4652264,702199587.762947,2.059888001975586,0
1800.0,76696104.11818963,2442947122.845185,3.2590210588731336,1,2083575050.4247596,522386190.84982467,0.6879432854758163,0
1860.0,35783313.5808508,2151756706.4138145,2.6236765214463498,1,2245107695.6489143,482111193.09494346,-0.19362958290975818,0
1920.0,40695973.98940671,1833576652.3377943,2.4442590473221575,1,2236979453.8200607,483272543.65108603,-0.8347314714686459,0
