t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_dport_entropy,sigma_rolling_dport_entropy,z_score_dport_entropy,fire_dport_entropy
0.0,80704364.11521181,2076351610.7851806,2.7265368444483036,0,,,,0
60.0,66059230.83530517,1799716690.3752763,3.267110235657519,0,,,,0
120.0,35134150.375594094,1804826571.8160148,4.276630622982457,0,2.9968235400529113,0.2702866956046089,,0
180.0,60996915.162276804,1935700633.9487805,2.8528144706289487,0,3.4234259010294266,0.642403622339864,,0
240.0,42118530.96640718,1178013298.6118903,3.405443660298415,0,3.280773043429307,0.6087374835189403,,0
300.0,41196209.544146374,1745886520.6473742,3.285098326512269,0,3.3057071668031286,0.5467503096537417,,0
360.0,42097760.10336778,2138048413.9220676,2.930693398435135,0,3.4174194632159214,0.46845870291515884,,0
420.0,39424571.308005944,1030815872.0321999,2.8628422052224494,0,3.3501360957714446,0.507728652384169,,0
480.0,39851825.2288459,2762641268.9241405,3.015551980227412,0,3.067378412219443,0.2316228015697766,,0
540.0,31612593.57311312,1121127070.2874517,3.4891091490378177,0,3.0999259141391358,0.20956965698844576,,0
600.0,60617840.47090405,1495410122.937565,2.6630937526577494,0,3.1166590118870166,0.23508284495386927,-1.929384763563973,0
660.0,70062477.98768705,1769317055.03409,2.809458333317445,0,2.9922580971161126,0.27433243470181506,-0.6663439705821199,0
720.0,61521046.94553505,2426766361.2853837,3.513051180790478,0,2.9680110840925744,0.28389342259569206,1.9198757467309295,0
780.0,26340978.949716154,2278951418.154342,3.6703443214803273,0,3.09805287920618,0.3476869996158347,1.6459960910430416,0
840.0,5142344.200755912,279924996.8349384,4.024433998326795,0,3.229011347456763,0.4097296042622543,1.9413355603196978,0
900.0,19993766.998557333,471736905.43452287,2.784991042145274,0,3.3360763173145584,0.5190613704218566,-1.061695796628828,0
960.0,21892703.06052336,1219838161.086346,2.063008548797771,0,3.3604557752120643,0.4888642326168908,-2.654003176851488,0
1020.0,20860828.156086065,1259233129.3881238,3.7301582494141927,0,3.2111658183081295,0.7018938463691429,0.7394172691366104,0
1080.0,21692332.117407225,3431634872.8828135,2.804350730126344,0,3.254587232032873,0.7255434009718983,-0.6205507503802205,0
1140.0,9807971.343193633,149832569.39085105,3.104511843890691,0,3.081388513762076,0.708792791108845,0.03262354022032401,0
1200.0,12978038.433930881,3342295144.686281,3.0878055196872864,0,2.897404082874855,0.5392373599878273,0.35309392660910904,0
1260.0,38018662.37899054,1422437945.480567,2.6577713509783956,0,2.9579669783832574,0.5402150212434971,-0.5556965571113791,0
1320.0,9164274.179401876,990931411.7881955,3.75402671722908,0,3.076919538819382,0.36812487330820215,1.8393410157938694,0
1380.0,52700560.80056365,2757278832.4215164,2.610419640104067,0,3.08169323238236,0.3766215578067956,-1.2513186845243027,0
1440.0,22910365.136764556,236034408.49265593,4.314755412750218,0,3.0429070143779042,0.4115524439752283,3.0903677453288734,1
1500.0,13231999.41773281,1635283896.7244103,1.794395244967121,0,3.2849557281498094,0.6584439786253142,-2.2637620383356682,0
1560.0,48640481.87875111,2192397915.5580826,2.197484783723706,1,3.0262736732057762,0.8962212546596209,-0.9247592435160878,0
1620.0,28641781.44178391,2113234607.790035,2.537520182386747,1,2.934216359754838,0.9512924895699809,-0.4170075783394574,0
1680.0,49485201.75770561,1495930133.760948,3.1164343707921645,1,2.6909150527863717,0.8618686916943721,0.4937171080773944,0
1740.0,59977385.443644404,2981028698.2903233,2.91914829249648,1,2.792117998923991,0.8760668017466945,0.1450006932339144,0
1800.0,76696104.11818963,2442947122.845185,3.2590210588731336,1,2.5129965748732435,0.47867177905001024,1.5585303263135295,0
1860.0,35783313.5808508,2151756706.4138145,2.6236765214463498,1,2.805921737654446,0.3890429962682763,-0.4684449224281206,0
